Datum;;Union;SPD;Grüne;FDP;Linke*;AfD;Andere;Piraten;n;Zeitraum
25.06.21;;0.29;0.14;0.22;0.1;0.07;0.1;0.08;;1.271;22.06.–24.06.
10.06.21;;0.28;0.15;0.22;0.1;0.07;0.11;0.07;;1.232;07.06.–09.06.
21.05.21;;0.24;0.14;0.25;0.11;0.07;0.11;0.08;;1.229;18.05.–20.05.
07.05.21;;0.25;0.14;0.26;0.1;0.07;0.11;0.07;;1.271;04.05.–06.05.
16.04.21;;0.31;0.14;0.21;0.09;0.07;0.11;0.07;;1.292;13.04.–15.04.
26.03.21;;0.28;0.15;0.23;0.09;0.07;0.12;0.06;;1.030;23.03.–25.03.
26.02.21;;0.35;0.16;0.19;0.07;0.07;0.1;0.06;;1.202;23.02.–25.02.
28.01.21;;0.37;0.15;0.2;0.06;0.07;0.09;0.06;;1.371;25.01.–27.01.
15.01.21;;0.37;0.15;0.2;0.05;0.08;0.1;0.05;;1.262;12.01.–14.01.
10.12.20;;0.37;0.16;0.2;0.05;0.08;0.1;0.04;;1.246;07.12.–09.12.
27.11.20;;0.37;0.16;0.21;0.05;0.07;0.09;0.05;;1.330;24.11.–26.11.
13.11.20;;0.37;0.16;0.2;0.05;0.07;0.09;0.06;;1.347;10.11.–12.11.
23.10.20;;0.38;0.15;0.2;0.05;0.08;0.09;0.05;;1.297;20.10.–22.10.
09.10.20;;0.37;0.16;0.2;0.05;0.07;0.1;0.05;;1.229;06.10.–08.10.
17.09.20;;0.37;0.17;0.19;0.05;0.07;0.1;0.05;;1.241;14.09.–16.09.
28.08.20;;0.38;0.16;0.19;0.05;0.08;0.09;0.05;;1.303;25.08.–27.08.
31.07.20;;0.38;0.14;0.21;0.05;0.08;0.09;0.05;;1.249;28.07.–30.07.
10.07.20;;0.39;0.15;0.2;0.05;0.07;0.09;0.05;;1.226;07.07.–09.07.
26.06.20;;0.4;0.15;0.19;0.05;0.07;0.09;0.05;;1.227;23.06.–25.06.
12.06.20;;0.39;0.15;0.2;0.04;0.07;0.09;0.06;;1.270;08.06.–10.06.
29.05.20;;0.39;0.15;0.19;0.04;0.08;0.09;0.06;;1.377;26.05.–28.05.
15.05.20;;0.38;0.15;0.18;0.05;0.08;0.1;0.06;;1.282;12.05.–14.05.
24.04.20;;0.39;0.16;0.18;0.05;0.07;0.09;0.06;;1.323;20.04.–23.04.
09.04.20;;0.35;0.17;0.2;0.05;0.07;0.1;0.06;;1.175;06.04.–08.04.
27.03.20;;0.33;0.15;0.22;0.06;0.08;0.1;0.06;;1.473;23.03.–26.03.
06.03.20;;0.26;0.16;0.23;0.06;0.08;0.14;0.07;;1.276;03.03.–05.03.
07.02.20;;0.27;0.14;0.22;0.06;0.1;0.14;0.07;;1.067;04.02.–06.02.
16.01.20;;0.27;0.14;0.23;0.07;0.09;0.14;0.06;;1.282;13.01.–15.01.
13.12.19;;0.27;0.13;0.23;0.08;0.09;0.14;0.06;;1.366;10.12.–12.12.
29.11.19;;0.27;0.13;0.23;0.07;0.1;0.14;0.06;;1.340;26.11.–28.11.
08.11.19;;0.27;0.14;0.22;0.07;0.1;0.14;0.06;;1.264;05.11.–07.11.
18.10.19;;0.29;0.14;0.24;0.06;0.08;0.13;0.06;;1.226;15.10.–17.10.
27.09.19;;0.27;0.13;0.27;0.06;0.07;0.14;0.06;;1.325;24.09.–26.09.
05.09.19;;0.28;0.15;0.24;0.06;0.07;0.13;0.07;;1.270;02.09.–04.09.
09.08.19;;0.28;0.13;0.25;0.07;0.07;0.13;0.07;;1.307;06.08.–08.08.
19.07.19;;0.28;0.13;0.25;0.08;0.08;0.12;0.06;;1.290;16.07.–18.07.
21.06.19;;0.27;0.14;0.26;0.07;0.07;0.13;0.06;;1.291;17.06.–19.06.
06.06.19;;0.27;0.13;0.26;0.07;0.07;0.13;0.07;;1.297;03.06.–05.06.
10.05.19;;0.3;0.16;0.2;0.07;0.08;0.14;0.05;;1.357;07.05.–09.05.
12.04.19;;0.28;0.17;0.2;0.08;0.09;0.13;0.05;;1.282;09.04.–11.04.
28.03.19;;0.3;0.15;0.19;0.09;0.09;0.13;0.05;;1.325;25.03.–27.03.
15.03.19;;0.31;0.16;0.19;0.08;0.08;0.12;0.06;;1.290;12.03.–14.03.
22.02.19;;0.31;0.15;0.2;0.07;0.09;0.13;0.05;;1.266;19.02.–21.02.
08.02.19;;0.3;0.16;0.2;0.08;0.09;0.12;0.05;;1.350;05.02.–07.02.
25.01.19;;0.31;0.14;0.2;0.08;0.09;0.13;0.05;;1.285;22.01.–24.01.
11.01.19;;0.29;0.14;0.21;0.08;0.09;0.14;0.05;;1.267;08.01.–10.01.
14.12.18;;0.3;0.15;0.19;0.07;0.09;0.15;0.05;;1.268;11.12.–13.12.
23.11.18;;0.27;0.14;0.22;0.08;0.09;0.16;0.04;;1.336;20.11.–22.11.
09.11.18;;0.27;0.14;0.22;0.09;0.09;0.14;0.05;;1.200;06.11.–08.11.
19.10.18;;0.27;0.14;0.2;0.08;0.1;0.16;0.05;;1.117;16.10.–18.10.
28.09.18;;0.28;0.17;0.17;0.08;0.1;0.16;0.04;;1.260;25.09.–27.09.
14.09.18;;0.3;0.2;0.16;0.07;0.08;0.15;0.04;;1.339;11.09.–13.09.
